customer_id,customer_name,customer_state,customer_city,customer_segment,signup_date
CUST0001,Customer_1,Gujarat,Ahmedabad,Regular,2022-10-17
CUST0002,Customer_2,Tamil Nadu,Bangalore,First-time,2021-04-25
CUST0003,Customer_3,Maharashtra,Ahmedabad,Bulk Buyer,2021-01-26
CUST0004,Customer_4,Gujarat,Mumbai,Prime,2023-01-30
CUST0005,Customer_5,Karnataka,Hyderabad,Bulk Buyer,2021-10-09
CUST0006,Customer_6,West Bengal,Delhi,Prime,2021-09-08
CUST0007,Customer_7,Maharashtra,Mumbai,Bulk Buyer,2021-08-17
CUST0008,Customer_8,Maharashtra,Pune,Regular,2021-05-23
CUST0009,Customer_9,Gujarat,Pune,First-time,2023-01-25
CUST0010,Customer_10,Telangana,Ahmedabad,First-time,2021-04-15
CUST0011,Customer_11,Karnataka,Kolkata,Regular,2022-11-24
CUST0012,Customer_12,Gujarat,Vizag,Prime,2023-01-29
CUST0013,Customer_13,Karnataka,Kolkata,Prime,2022-07-13
CUST0014,Customer_14,Karnataka,Kolkata,Prime,2021-03-31
CUST0015,Customer_15,West Bengal,Delhi,Regular,2022-08-28
CUST0016,Customer_16,Maharashtra,Hyderabad,Prime,2022-03-09
CUST0017,Customer_17,Tamil Nadu,Delhi,Regular,2021-02-02
CUST0018,Customer_18,West Bengal,Mumbai,Bulk Buyer,2021-01-31
CUST0019,Customer_19,West Bengal,Pune,Bulk Buyer,2021-04-06
CUST0020,Customer_20,Karnataka,Delhi,Regular,2021-08-12
CUST0021,Customer_21,Delhi,Mumbai,First-time,2021-08-27
CUST0022,Customer_22,Maharashtra,Delhi,Bulk Buyer,2022-06-02
CUST0023,Customer_23,Telangana,Kolkata,Prime,2022-09-09
CUST0024,Customer_24,West Bengal,Bangalore,Regular,2021-01-28
CUST0025,Customer_25,Tamil Nadu,Ahmedabad,Prime,2022-07-29
CUST0026,Customer_26,Delhi,Vizag,Prime,2021-07-23
CUST0027,Customer_27,Delhi,Delhi,First-time,2023-01-04
CUST0028,Customer_28,Telangana,Vizag,Prime,2022-10-28
CUST0029,Customer_29,West Bengal,Chennai,First-time,2022-12-20
CUST0030,Customer_30,Tamil Nadu,Delhi,Bulk Buyer,2022-07-13
CUST0031,Customer_31,Maharashtra,Bangalore,Regular,2022-03-06
CUST0032,Customer_32,Andhra Pradesh,Vizag,Prime,2021-08-14
CUST0033,Customer_33,Tamil Nadu,Delhi,Regular,2022-04-05
CUST0034,Customer_34,Telangana,Hyderabad,Prime,2022-08-27
CUST0035,Customer_35,Delhi,Ahmedabad,Regular,2021-10-12
CUST0036,Customer_36,Maharashtra,Bangalore,Prime,2023-04-09
CUST0037,Customer_37,Tamil Nadu,Vizag,Prime,2023-06-10
CUST0038,Customer_38,Andhra Pradesh,Bangalore,Prime,2021-01-07
CUST0039,Customer_39,Andhra Pradesh,Mumbai,Prime,2023-02-17
CUST0040,Customer_40,Karnataka,Ahmedabad,Prime,2023-04-06
CUST0041,Customer_41,Karnataka,Delhi,Prime,2021-06-13
CUST0042,Customer_42,Gujarat,Delhi,Prime,2022-12-16
CUST0043,Customer_43,Telangana,Delhi,Prime,2022-03-09
CUST0044,Customer_44,West Bengal,Ahmedabad,Prime,2021-12-15
CUST0045,Customer_45,Tamil Nadu,Hyderabad,Regular,2021-10-12
CUST0046,Customer_46,Tamil Nadu,Chennai,First-time,2021-06-09
CUST0047,Customer_47,West Bengal,Pune,Prime,2021-08-09
CUST0048,Customer_48,Gujarat,Kolkata,First-time,2023-02-21
CUST0049,Customer_49,Delhi,Vizag,Prime,2021-12-11
CUST0050,Customer_50,Delhi,Hyderabad,Prime,2021-04-15
CUST0051,Customer_51,Gujarat,Vizag,Regular,2021-04-05
CUST0052,Customer_52,Delhi,Delhi,Bulk Buyer,2022-01-25
CUST0053,Customer_53,Karnataka,Bangalore,Bulk Buyer,2021-04-10
CUST0054,Customer_54,Tamil Nadu,Vizag,Regular,2022-01-03
CUST0055,Customer_55,Gujarat,Delhi,First-time,2023-05-18
CUST0056,Customer_56,Tamil Nadu,Vizag,Bulk Buyer,2021-12-19
CUST0057,Customer_57,West Bengal,Bangalore,Regular,2022-09-11
CUST0058,Customer_58,Andhra Pradesh,Delhi,Regular,2021-09-28
CUST0059,Customer_59,Karnataka,Chennai,Bulk Buyer,2023-04-07
CUST0060,Customer_60,Maharashtra,Hyderabad,First-time,2021-02-14
CUST0061,Customer_61,Karnataka,Mumbai,Regular,2023-01-18
CUST0062,Customer_62,Gujarat,Kolkata,Prime,2022-04-16
CUST0063,Customer_63,Maharashtra,Ahmedabad,First-time,2022-07-04
CUST0064,Customer_64,Andhra Pradesh,Kolkata,First-time,2021-05-08
CUST0065,Customer_65,Gujarat,Kolkata,Bulk Buyer,2022-01-23
CUST0066,Customer_66,Telangana,Delhi,Bulk Buyer,2021-03-22
CUST0067,Customer_67,Tamil Nadu,Chennai,Prime,2022-07-20
CUST0068,Customer_68,Andhra Pradesh,Mumbai,Regular,2021-10-28
CUST0069,Customer_69,Tamil Nadu,Hyderabad,Bulk Buyer,2023-04-30
CUST0070,Customer_70,Delhi,Hyderabad,Bulk Buyer,2022-10-06
CUST0071,Customer_71,Telangana,Bangalore,First-time,2022-09-26
CUST0072,Customer_72,Telangana,Ahmedabad,Bulk Buyer,2023-06-02
CUST0073,Customer_73,Andhra Pradesh,Vizag,Bulk Buyer,2022-01-06
CUST0074,Customer_74,Telangana,Chennai,Bulk Buyer,2022-08-15
CUST0075,Customer_75,Maharashtra,Vizag,Bulk Buyer,2021-07-16
CUST0076,Customer_76,Telangana,Mumbai,First-time,2022-12-23
CUST0077,Customer_77,Tamil Nadu,Kolkata,Prime,2021-03-13
CUST0078,Customer_78,Tamil Nadu,Hyderabad,Prime,2021-02-16
CUST0079,Customer_79,Gujarat,Mumbai,Regular,2022-11-09
CUST0080,Customer_80,Tamil Nadu,Kolkata,Bulk Buyer,2021-08-22
CUST0081,Customer_81,Gujarat,Hyderabad,First-time,2023-03-03
CUST0082,Customer_82,Tamil Nadu,Kolkata,Regular,2021-10-24
CUST0083,Customer_83,Maharashtra,Ahmedabad,Regular,2021-03-23
CUST0084,Customer_84,West Bengal,Chennai,Prime,2023-05-26
CUST0085,Customer_85,Gujarat,Mumbai,First-time,2021-08-27
CUST0086,Customer_86,Karnataka,Mumbai,First-time,2023-06-07
CUST0087,Customer_87,Delhi,Pune,First-time,2021-04-14
CUST0088,Customer_88,Andhra Pradesh,Delhi,Prime,2022-01-25
CUST0089,Customer_89,Tamil Nadu,Ahmedabad,Prime,2021-10-12
CUST0090,Customer_90,Telangana,Ahmedabad,Prime,2022-04-10
CUST0091,Customer_91,West Bengal,Vizag,Prime,2022-10-13
CUST0092,Customer_92,Tamil Nadu,Kolkata,Prime,2023-05-05
CUST0093,Customer_93,Telangana,Delhi,Bulk Buyer,2022-01-09
